userName,score,at,content,ai_complaint_category
madhusudhan deekonda,1,2026-06-16 09:02:02,I faced 3lakhs margin short fall on expiry. This is my worst experience which I faced with zerodha.,LEDGER_DISPUTE
Uncrowned Myth,1,2026-06-15 11:48:24,bought 23 stocks only received 13stocks and money for 10 more stocks is missing.,EXECUTION_SLIPPAGE
Ankit Singh,1,2026-06-14 23:18:13,"facing issue while fetching chart , very high amc closing account soon 🥱",CHARTING_UI_GLITCH
Deepanshu Makhnawat,1,2026-06-14 11:34:32,useless app. i spent 5 rupees times at 5 times but my account did not open,KYC_ONBOARDING_EFFICIENCY
Souvik Banerjee,1,2026-06-12 12:07:34,Philosopher Zerodha has the worst possible product designs for managing wealth.,GENERAL_INQUIRY
Yuvan,1,2026-06-12 10:28:33,"Chart not loading! This is a recurrent problem of late guess since the new update, I click View Chart but a blank screen loads up",CHARTING_UI_GLITCH
Raunak singh Negi (Raunak),1,2026-06-12 09:29:23,"what a terrible experience from zerodha, platform is really trying hard to not let any new user join in . First their stupidly slow verification, and while I clearly got a message my account is ready for purchases, even letting me add funds . all my orders got rejected because apparently while it shows approved on front the backend servers still haven't been updated . If I had a lot of time to waste i think it even needed a lawsuit for showing the wrong information .",SYSTEM_STABILITY
Meghan Jade,1,2026-06-11 10:28:03,"lots of bugs are there in the app and still they will not accept it and tell like you need to update the app, etc even if the app is on the latest version.",GENERAL_INQUIRY
chandra shekhar sharma,1,2026-06-10 11:00:47,cmr green ipo today list but not showing your kite app and poor services,EXECUTION_SLIPPAGE
Amit Kumar Saraogi,1,2026-06-10 09:54:34,Its very bad app they change app working continuously which is unfavourable for daily users,GENERAL_INQUIRY
Mohamed Aakhil,1,2026-06-09 10:10:44,"I will give zero stars for this application. I don't know why they are keep on increasing my account balance to negative and putting interest on a daily basis, here in zero (0) dha you can't earn. they are adding many hidden charges and fine. worst stock account I have ever seen.",LEDGER_DISPUTE
Punit,1,2026-06-08 10:22:41,"I given pledged request at 09.15 AM and received message from CDSL & spoken to Miss swati, Mr Ganesh but all in vain. zerodha application getting problem on daily basis. I think now it's time to shift from Zerodha.",EXECUTION_SLIPPAGE
Karkuzhali Soundararajan,1,2026-06-07 04:01:47,very worst customer service.i transfer share from primary to secondary demat. the buying price is wrong and contacted support portal. they send same reply to wait even after 4 weeks,LEDGER_DISPUTE
vallalar herbals,1,2026-06-06 14:08:26,Other App Brokerage Charge Flattrade ₹0 mstock App ₹10 stoxKart Monthly ₹99 but ₹20 brokerage service Not Good Difficult to Buy Sell Colour only Red & Blue Every day doing 50 stock buy & Sell Every day ₹2000 Brokerage. I Don't want waste my money profit loss via Brokerage so please Don't Service not good.. segment activation take time 72 Hours..,KYC_ONBOARDING_EFFICIENCY
Krishna Chaitanya,1,2026-06-05 22:28:58,"this is one of the useless company, even though we are using for only low charged broker. This company terminated our brokerage Commission suddenly after giving so much of service since somany years from almost beginning of the company starting... useless fellow service.",GENERAL_INQUIRY
Deepak Gochar,1,2026-06-05 21:41:23,chart preference limit reached yry remove any existing templates/ Drawings to save new preference ye problem pahle nahi aati thi 2 line kya laga de koi bhi new zone ya kuch bhi mark karna hoto pahle wali line hatao ye kyo bhai jab ese karna hoga to zerodha kis kam aaega kki or application me ye problem nahi hai isKo solve karo ya to hum application change kare,CHARTING_UI_GLITCH
Binay Jaiswal,1,2026-06-05 20:53:48,Please Add Trade On Chart Features so that I can buy and sell directly from the chart. Just Like Zerodha Web.,CHARTING_UI_GLITCH
Pravin Patil,1,2026-06-05 12:30:50,"Very slow app, hangs frequently, charts dont load, holdings cant be scrolled, citing reason as slow internet connection (my wi-fi is 100 mbps broadband). At least put a tab to directly go to first stock in scroll list similarly like ""clear tab"" appears at top after any holding selection.",CHARTING_UI_GLITCH
Manjeet Singh,1,2026-06-05 11:32:28,don't like the latest option chain update so many glitches while loading charts . its not build for trading. it's time waste,CHARTING_UI_GLITCH
raja d,1,2026-06-04 18:28:03,"I give (minus)-5*/5* no matter how many time I've applied some indicators, every time I login , i need to apply every time ...FYERS is faaaaaaar more better than you. in fyers if I apply any indicator, it will stay there untill I remove it, even Fyers is very junior than you, they are far more better than you in all aspects 🙏",CHARTING_UI_GLITCH
Vijay V,1,2026-06-04 17:59:28,"just errors out at the end of sign up process, waste of time!",KYC_ONBOARDING_EFFICIENCY
mukesh meena,1,2026-06-04 15:00:16,"Zerodha bilkul hi bkwas hai. Dusre broker apne account ko ek sath multiple jgh handling krne deta hai. yhan bus ek hi system pr rho. Stop loss aur order lgana to👉 ""So.. horrible""👈 hai. itna janjat bkwas matha pschchi hai ki kya btayen. time pr entry exit stoploss nhi lga pate. 000000 zero hai",EXECUTION_SLIPPAGE
